"Key","Value"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,5215.928
114,1977.435
115,1734.696
116,1861.986
117,2442.191
118,0
119,1412.031
120,2829.982
121,0
122,2528.038
123,4458.109
124,4635.723
125,0
126,0
127,4413.706
128,1681.412
129,2158.009
130,1761.338
131,3493.074
132,2554.68
133,1385.388
134,5328.417
135,8836.292
136,4108.802
137,4549.876
138,3176.329
139,3232.573
140,5491.23
141,2459.953
142,0
143,0
144,4768.933
145,2424.43
146,0
147,9138.236
148,3759.494
149,7125.278
150,2030.719
151,7868.296
152,3895.665
153,5402.423
154,6003.35
155,3197.05
156,7459.784
157,7557.472
158,0
159,3732.852
160,8670.519
161,2548.76
162,4745.252
163,3333.221
164,2637.567
165,3117.124
166,3898.625
167,2741.175
168,7107.517
169,8128.797
170,4230.171
171,2818.141
172,0
173,8330.092
174,12400.411
175,0
176,1838.304
177,7838.694
178,5215.928
179,4928.786
180,0
181,0
182,3937.108
183,4783.735
184,3661.807
185,4150.245
186,4863.661
187,8042.95
188,5449.787
189,5582.997
190,4615.001
191,3741.733
192,3490.113
193,0
194,0
195,2877.345
196,2676.05
197,4908.064
198,0
199,2063.282
200,2972.073
201,2246.816
202,4073.279
203,4650.524
204,5307.696
205,2761.896
206,0
207,1637.008
208,0
209,2166.89
210,4354.501
211,0
212,0
213,991.678
214,0
215,1947.833
216,7243.687
