"Key","Value"
81928,0.0015
81929,1e-04
81930,0.0024
82368,0.0465
82370,0.0059
82371,2e-04
82828,0.0019
83281,0.003
83282,5e-04
83734,0.0514
84181,0.011
84182,5e-04
84183,1e-04
84614,1e-04
84615,3e-04
85045,0.0197
85049,1e-04
85472,0.022
85473,0.0267
85474,0.0365
85475,0.0314
85897,0.0217
85898,0.0235
85899,0.0286
85900,0.0238
85901,0.004
85902,0.0044
85903,0.0136
85904,0.0025
85905,4e-04
85906,4e-04
85907,0.0038
86337,0.0355
86338,0.0314
86339,0.026
86340,0.0074
86341,0.012
86342,0.024
86343,0.0112
86773,0.0303
86774,0.0306
86775,0.0303
86776,9e-04
86777,4e-04
86778,0.0043
86779,0.0162
86780,0.0235
86781,0.0141
86782,0.0124
87191,0.0254
87192,0.0281
87193,0.0221
87194,0.003
87195,0.0025
87196,0.0091
87197,0.0079
87198,0.014
87199,0.0162
87200,0.0126
87201,0.0163
87202,0.0181
87203,0.0129
87606,0.0228
87607,0.0261
87608,0.0312
87609,0.0231
87610,0.014
87611,0.0053
87612,0.0053
87613,0.0126
87614,0.0216
87615,0.0227
87616,0.0239
87617,0.0128
87618,0.0133
87619,0.0096
87620,0.0182
87621,0.0164
87622,0.0057
88029,0.0089
88030,0.0103
88031,0.0267
88032,0.0203
88033,0.0249
88034,0.0328
88035,0.0174
88036,0.0034
88037,0.0155
88038,0.0136
88039,0.0143
88040,0.016
88041,0.0221
88042,0.0207
88043,0.0171
88044,0.0163
88045,0.0163
88046,0.0172
88047,0.0205
88048,0.014
88455,0.0036
88456,0.0012
88457,0.01
88458,0.024
88459,0.0248
88460,0.0209
88461,0.0217
88462,4e-04
88463,8e-04
88464,0.0077
88465,0.0149
88466,0.0104
88467,0.0189
88468,0.0301
88469,0.0155
88470,0.0222
88471,0.0187
88472,0.017
88473,0.0197
88474,0.0367
88475,0.0176
88476,0.0207
88477,0.0085
88893,4e-04
88894,0.0214
88895,0.0185
88896,0.0215
88897,0.0182
88898,0.0019
88899,0.0124
88900,0.0021
88901,0.0119
88902,0.0133
88903,0.0195
88904,0.0198
88905,0.0248
88906,0.019
88907,0.0171
88908,0.0211
88909,0.0297
88910,0.0264
88911,0.0255
88912,0.03
88913,0.0294
88914,0.0187
89337,0.0036
89338,0.0011
89339,1e-04
89340,1e-04
89341,0.0021
89342,3e-04
89343,1e-04
89344,0.0042
89345,0.0179
89346,0.0108
89347,0.0125
89348,0.0182
89349,0.0176
89350,0.0114
